name,birthplace,nationality,Collection,entry_year,Life,img
Sophia Louisa Jex-Blake,,,,1869,1840-1912,jex_blake.png
Isabel Jane Pryer later Thorne,,,,1869,1834-1910,isabel_thorne.png
Mary Edith Pechey,,,,1869,,edith_pechey.png
Matilda Charlotte Chaplin,,,,1869,1846-1883,null
Helen (de Lacy) Evans,,,,1869,1833-1903,null
Mary Adamson Anderson later Marshall,,,,1869,1837-1910,mary_anderson.png
Emily Bovell later Sturge,,,,1869,1841-1885,null
Anne Maria Jane Anderson later Somerville,,,,1869,1847-1935,null
Annie Reay Barker,,,,1869,1851–1945,null
Margaret Gillespie Bryson,,,,1869,1853-1939,null
Mary Cadell,,,,1869,1828-1901,null
Martha Lilian Cash,,,,1869,1852-1918,null
Jane (Hume) Clapperton,,,,1869,1832-1914,null
Elizabeth M[ary] Clark OR Anne Elizabeth Clark,,,,1869,1844-1925,null
Anna Dahms,,,,1869,1848-1917,null
Mary Patterson Durham,,,,1869,1844-1937,null
"Isabella Margaret Hope Johnstone, later Foggo",,,,1869,1841-1891,null
Mary Green,,,,1869,,null
Margaret Scott Hume,,,,1869,1839/1900?,null
Agnes Campbell Imlach,,,,1869,1848-1916,null
Alexina Christina Emma Ker,,,,1869,1833-1892,null
Elizabeth Madeline Catherine Ker,,,,1869,1831-1915,null
Alice Jane Shannon Stewart Ker,,,,1869,1853-1943,alice_ker.png
Jane Aurelia Macmillan née Anderson?,,,,1869,1841-1908,null
Elizabeth Marshall,,,,1869,,null
Emily Rosaline Masson née Orme,,,,1869,1835-1915,emily_orme.png
Mary F (J?) McCarter,,,,1869,1830-1889,null
Margaret Constable McDonald,,,,1869,1841-1913,null
Agnes M'Laren,,,,1869,,agnes_mlaren.png
Sophie Jane Massingberd Mundy,,,,1869,1845-c1906,null
Margaret Mather Orr,,,,1869,1825-1910,null
Mary Emilia Robertson,,,,1869,1845-1907,null
Caroline Sarah Robertson,,,,1869,1847-1931,null
Jane Russell Rorison,,,,1869,,null
Rose Anna Shedlock later Roux,,,,1869,1850-1879,null
Mary Spalding Roberts Sinclair,,,,1869,1845-1891,null
Louisa Stevenson,,,,1869,,louisa_stevenson.png
Flora C Stevenson,,,,1869,,flora_stevenson.png
Elizabeth Vinson,,,,1869,1841-1926,null
Eliza Louisa Walker later Dunbar,,,,1869,1845-1925,eliza_dunbar.png
