name,nationality,Collection,entry_year,degree,Description,thesis
"Craig, Jane Alice",Scotland,Female Medical Graduates 1896-1900,1898-07-30,MB ChB,NA,NA
"Booth, Mary Ross",Australia,Female Medical Graduates 1896-1900,1899-10-21,MB CM,NA,NA
"Mayne, Christina Allison",Scotland,Female Medical Graduates 1896-1900,1898-07-30,MB ChB,NA,NA
"Macdonald, Elizabeth Greer",India,Female Medical Graduates 1896-1900,1899-07-29,MB ChB,NA,NA
"Coghill, Violet Alice Penrose",Ireland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Inglis, Elsie Maud",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MB CM,NA,NA
"Anderson, Eliza Matthew",Scotland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Richardson, Catherine Mary",England,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Geddes, Alexandra Mary (Mona) Campbell",Scotland,Female Medical Graduates 1896-1900,1898-07-30,MD,Previous degree,"A Year's Obstetric Work at Plaistow Maternity Institute, London. Statistics and notes on fifteen hundred and fifty Cases, with Observations on cases of Gravidartum, Extra Uterine Gestation, Rupture of the Uterus, and Inversion of the Uterus"
"Alexander, Tina McCulloch",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MB ChB,NA,NA
"Gilfillan, Janet Dorothy",England,Female Medical Graduates 1896-1900,1898-07-30,MB ChB,NA,NA
"McElney, Elizabeth",Ireland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Venters, Isabella Beattie",Scotland,Female Medical Graduates 1896-1900,1897-07-31,MB CM,NA,NA
"Thomson, Emily Charlotte",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MB CM,NA,NA
"MacLaren, Harriet Joanna Campbell",Scotland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,Previous degree,NA
"Stuart, Esther Molyneux",England,Female Medical Graduates 1896-1900,1899-07-29,MB CM,NA,NA
"Cameron, Isabella Douglas",Scotland,Female Medical Graduates 1896-1900,1898-07-30,MB ChB,NA,NA
"Adams, Violet Grace Seymour",England,Female Medical Graduates 1896-1900,1899-10-21,MB CM,NA,NA
"Macrory, Elizabeth",Ireland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"MacGregor, Jessie MacLaren",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MD,Previous degree,The Comparative Anatomy of the Eighth Nerve
"Anderson, Mary Scott",Scotland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Hogg, Katie Welton",Australia,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,Previous degree,NA
"Crowther, Faith Philpot",England,Female Medical Graduates 1896-1900,1898-07-30,MB ChB,NA,NA
"Fraser, Catherine",Scotland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Coghill, Agnes Irene Sinclair",Scotland,Female Medical Graduates 1896-1900,1897-07-31,MB CM,NA,NA
"O'Connor, Caroline Elizabeth",Ireland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Marshall, Marion Balfour",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MB CM,NA,NA
"Mouat, Janet Ainslie Shiells",Scotland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Pratt, Dorothy Ellen",India,Female Medical Graduates 1896-1900,1898-07-30,MB CM,NA,NA
"McGregor, Robina",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MB ChB,2nd class honours,NA
"Pepper, Mary Churchilll",England,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Sproull, Eleanor Rosina",Ireland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"McDougall, Mary Ross",Scotland,Female Medical Graduates 1896-1900,1897-07-31,MB CM,NA,NA
"McElderry, Sara Lyle",Ireland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"Bird, Harriet Amelia Scott",England,Female Medical Graduates 1896-1900,1898-07-30,MB ChB,NA,NA
"McGregor, Beatrice Anne",Scotland,Female Medical Graduates 1896-1900,1898-07-30,MB CM,NA,NA
"Sandeman, Laura Stewart",Scotland,Female Medical Graduates 1896-1900,28/07/1900,MB ChB,NA,NA
"White, Addie",Scotland,Female Medical Graduates 1896-1900,1899-07-29,MB CM,NA,NA
"MacGregor, Jessie MacLaren",Scotland,Female Medical Graduates 1896-1900,1896-08-01,MB CM,NA,NA
