year,number
1914-15,0
1915-16,11
1916-17,240
1917-18,324
1918-19,373
1919-20,413
1920-21,417
1921-22,381
1922-23,293
1923-24,253
1924-25,187
1925-26,150
1926-27,131
1927-28,139
1928-29,144
1929-30,143
1930-31,151
1931-32,155
1932-33,163
1933-34,166
1934-35,166
1935-36,184
1936-37,193
1937-38,219
1938-39,219
1939-40,228
1940-41,251
1941-42,274
1942-43,268
1943-44,291
1944-45,322
1945-46,373
1946-47,375
1947-48,365
1948-49,490
1949-50,408
1950-51,351
1951-52,327
1952-53,322
1953-54,356
1954-55,362
1955-56,370
1956-57,356
1957-58,353
1958-59,381
1959-60,370
1960-61,376
1961-62,357
1962-63,350
1963-64,294
1964-65,298
1965-66,295
