entry_year,number
1914,540
1915,481
1916,686
1917,752
1918,835
1919,1092
1920,1206
1921,1161
1922,1169
1923,1198
1924,1228
1925,1191
1926,1223
1927,1313
1928,1270
1929,1267
1930,1252
1931,1206
1932,1160
1933,1089
1934,1002
1935,915
1936,909
1937,903
1938,917
1939,874
1940,903
1941,1010
1942,1069
1943,1186
1944,1339
1945,1605
1946,1753
1947,1812
1948,1837
1949,1733
1950,1611
1951,1574
1952,1533
1953,1550
1954,1605
1955,1718
1956,1831
1957,1946
1958,1992
1959,2000
1960,2125
1961,2210
1962,2331
1963,2399
1964,2622
1965,2910
