name,Collection,entry_year,Destination.after.study
"Wall, Frederick","Early Veterinary Graduates, 1825-1865",1865,Manchester
"Whyte, William","Early Veterinary Graduates, 1825-1865",1844,"Girvan, Ayrshire"
"Burnett, John","Early Veterinary Graduates, 1825-1865",1866,"Dundonald, Ayr"
"Gladwin, Edward","Early Veterinary Graduates, 1825-1865",1854,Manchester
"Pollock, Thomas","Early Veterinary Graduates, 1825-1865",1842,Edinburgh
"Reid, Charles","Early Veterinary Graduates, 1825-1865",1830,"Strathardle, Perth"
"Young, William","Early Veterinary Graduates, 1825-1865",1834,Noblehouse
"Kelly, Alexander","Early Veterinary Graduates, 1825-1865",1862,Edinburgh
"Erskine, Robert","Early Veterinary Graduates, 1825-1865",1863,"Grantown, Inverness"
"Turnbull, Thomas","Early Veterinary Graduates, 1825-1865",1831,Hawick
"Hutchinson, John","Early Veterinary Graduates, 1825-1865",1855,South Shields
"Jones, Owen","Early Veterinary Graduates, 1825-1865",1853,Anglesea
"Gardner, Charles","Early Veterinary Graduates, 1825-1865",1844,Toronto
"Dundas, George","Early Veterinary Graduates, 1825-1865",1858,Wick
"Crosland, George","Early Veterinary Graduates, 1825-1865",1850,Victoria
"Smith, Godfrey","Early Veterinary Graduates, 1825-1865",1860,"Darton, near Barnsley"
"Hepburn, John","Early Veterinary Graduates, 1825-1865",1842,Laurencekirk
"Spruell, William","Early Veterinary Graduates, 1825-1865",1862,Paisley
"Moir, John","Early Veterinary Graduates, 1825-1865",1855,Banchory
"Gray, John","Early Veterinary Graduates, 1825-1865",1860,"Craigie Burn, Lanarkshire"
"Wordie, John","Early Veterinary Graduates, 1825-1865",1843,Cumbernauld
"M'Intosh, Robert","Early Veterinary Graduates, 1825-1865",1855,Falkirk
"Goudie, John","Early Veterinary Graduates, 1825-1865",1846,"Hinckley, Leicestershire"
"Lord, Richard","Early Veterinary Graduates, 1825-1865",1857,"Halifax, Yorkshire"
"Heard, William","Early Veterinary Graduates, 1825-1865",1850,"Launceston, Cornwall"
"Aitkin, Robert","Early Veterinary Graduates, 1825-1865",1836,"Felton, Northumberland"
"Baxter, John","Early Veterinary Graduates, 1825-1865",1836,Campbelltown
"Robertson, Alexander","Early Veterinary Graduates, 1825-1865",1844,"Stonehaven, Kincardine"
"Thomson, John","Early Veterinary Graduates, 1825-1865",1841,"Glammis, Forfar"
"Welsh, C.","Early Veterinary Graduates, 1825-1865",1863,"Whaley Bridge, Derby"
"Robson, Joseph","Early Veterinary Graduates, 1825-1865",1856,Penrith
"Snowball, George","Early Veterinary Graduates, 1825-1865",1851,Huntly
"Moffat, George D.","Early Veterinary Graduates, 1825-1865",1844,Edinburgh
"Anderson, John","Early Veterinary Graduates, 1825-1865",1835,Liberton
"Tait, John","Early Veterinary Graduates, 1825-1865",1848,Kirkintilloch
"Cairncross, Peter","Early Veterinary Graduates, 1825-1865",1855,"Alyth, Forfarshire"
"Haunsell, William","Early Veterinary Graduates, 1825-1865",1839,"Staithes, Whitby"
"Carlisle, Edward","Early Veterinary Graduates, 1825-1865",1852,Carlisle
"Bell, John","Early Veterinary Graduates, 1825-1865",1858,Carlisle
"Walker, William","Early Veterinary Graduates, 1825-1865",1845,"Dalry, Ayrshire"
"Martin, John","Early Veterinary Graduates, 1825-1865",1842,Limerick
"Brodie, John","Early Veterinary Graduates, 1825-1865",1829,Dunse
"Bodington, George","Early Veterinary Graduates, 1825-1865",1846,"Canton, Cardiff"
"Vasey, Nicholas","Early Veterinary Graduates, 1825-1865",1856,Durham
"Johnson, William","Early Veterinary Graduates, 1825-1865",1836,Roslin
"Spenser, John","Early Veterinary Graduates, 1825-1865",1843,"Bakewell, Derby"
"Balfour, Andrew","Early Veterinary Graduates, 1825-1865",1844,"Balweary, Kirkcaldy"
"Turner, James","Early Veterinary Graduates, 1825-1865",1833,"Montreal, Canada"
"Mason, John","Early Veterinary Graduates, 1825-1865",1844,Kincardine
"White, James","Early Veterinary Graduates, 1825-1865",1835,"Paxton, Berwickshire"
"Robinson, James","Early Veterinary Graduates, 1825-1865",1846,Renfrewshire
"Tait, George, Jun.","Early Veterinary Graduates, 1825-1865",1848,Meigle
"Summers, William","Early Veterinary Graduates, 1825-1865",1866,"Chardstock, Dorset"
"Womack, John","Early Veterinary Graduates, 1825-1865",1861,"Ponteland, Northumberland"
"Smith, John","Early Veterinary Graduates, 1825-1865",1864,Birkenhead
"Olden, George","Early Veterinary Graduates, 1825-1865",1845,Cork
"Jack, John","Early Veterinary Graduates, 1825-1865",1864,Inverkeillor
"Ball, Thomas","Early Veterinary Graduates, 1825-1865",1850,Manchester
"Smith, William A.","Early Veterinary Graduates, 1825-1865",1865,Dublin
"M'Laren, John","Early Veterinary Graduates, 1825-1865",1863,"Newport, Yorkshire"
"Ross, Andrew Galbraith","Early Veterinary Graduates, 1825-1865",1860,Scots Greys
"Dunlop, John","Early Veterinary Graduates, 1825-1865",1859,Dreghorn
"Osborne, Joseph","Early Veterinary Graduates, 1825-1865",1845,"Spondon, Derbyshire"
"Aked, John","Early Veterinary Graduates, 1825-1865",1844,"Blackburn, Lancashire"
"Bryce, John","Early Veterinary Graduates, 1825-1865",1836,Stirling
"Walker, Peter","Early Veterinary Graduates, 1825-1865",1861,"Luss, Dumbarton"
"Bowie, Andrew","Early Veterinary Graduates, 1825-1865",1827,Hawick
"Dobson, Robert","Early Veterinary Graduates, 1825-1865",1842,"Seton, Haddington"
"Beattie, George","Early Veterinary Graduates, 1825-1865",1850,"Langside, Aberdeenshire"
"Robertson, John","Early Veterinary Graduates, 1825-1865",1844,Perthshire
"Cassie, John","Early Veterinary Graduates, 1825-1865",1861,"New Machar, Aberdeenshire"
"Dalzell, Allan","Early Veterinary Graduates, 1825-1865",1857,"Lecturer on Chemistry and Materia Medica, Edinburgh Veter. College"
"Wainwright, Thomas","Early Veterinary Graduates, 1825-1865",1861,"Sherburne, Yorkshire"
"M'Farlane, Andrew","Early Veterinary Graduates, 1825-1865",1848,"Trinity Gask, Perthshire"
"Currie, Robert G.","Early Veterinary Graduates, 1825-1865",1860,Aberdour
"Roberts, Thomas","Early Veterinary Graduates, 1825-1865",1862,"Lodge, Chirke, Salop"
"Hardy, William","Early Veterinary Graduates, 1825-1865",1861,Durham
"M'Connell, Thomas","Early Veterinary Graduates, 1825-1865",1866,Wigtown
"M'Lean, John","Early Veterinary Graduates, 1825-1865",1826,Aberfeldie
"Aitkin, Alex. Murray","Early Veterinary Graduates, 1825-1865",1841,Australia
"Olden, Robert, Junior","Early Veterinary Graduates, 1825-1865",1839,Cork
"Watt, Alexander","Early Veterinary Graduates, 1825-1865",1837,Edinburgh
"Murphy, James","Early Veterinary Graduates, 1825-1865",1862,Armagh
"Riddell, William","Early Veterinary Graduates, 1825-1865",1833,"Garioch, Aberdeen"
"Barker, Charles","Early Veterinary Graduates, 1825-1865",1849,"Malton, Yorkshire"
"Dun, Finlay","Early Veterinary Graduates, 1825-1865",1849,Shipston-on-Stour
"Reed, Thomas","Early Veterinary Graduates, 1825-1865",1860,Shotley Bridge
"Brockie, James","Early Veterinary Graduates, 1825-1865",1852,Mamoch
"Smith, Anthony","Early Veterinary Graduates, 1825-1865",1834,Australia
"Ferguson, George","Early Veterinary Graduates, 1825-1865",1829,"Craighead, Perthshire"
"Sheriff, John","Early Veterinary Graduates, 1825-1865",1854,Calcutta
"Knight, Robert","Early Veterinary Graduates, 1825-1865",1851,Alloa
"Waddell, Alexander","Early Veterinary Graduates, 1825-1865",1835,Perth
"Pope, Adam","Early Veterinary Graduates, 1825-1865",1833,"Tarves, Aberdeen"
"Hume, James","Early Veterinary Graduates, 1825-1865",1853,America
"Lambert, Thomas","Early Veterinary Graduates, 1825-1865",1859,Manchester
"Waldie, Edward","Early Veterinary Graduates, 1825-1865",1840,Jedburgh
"Aitkin, William","Early Veterinary Graduates, 1825-1865",1832,Kilmarnock
"Turnbull, Peter","Early Veterinary Graduates, 1825-1865",1866,"Rhynie, Aberdeenshire"
"Chisholm, Alexander","Early Veterinary Graduates, 1825-1865",1861,Blackshiels
"M'Eachran, Duncan M.","Early Veterinary Graduates, 1825-1865",1861,Canada West
"Falconer, Daniel","Early Veterinary Graduates, 1825-1865",1848,Loanhead
"Cockburn, John","Early Veterinary Graduates, 1825-1865",1838,Haddington
"Ramsay, Henry","Early Veterinary Graduates, 1825-1865",1861,"Lumphanan, Aberdeenshire"
"Simon, John","Early Veterinary Graduates, 1825-1865",1866,"Auchterless, Aberdeen"
"Wood, Sampson","Early Veterinary Graduates, 1825-1865",1853,"Moor Town, Leeds"
"Houston, George","Early Veterinary Graduates, 1825-1865",1844,Midlothian
"Johnson, James","Early Veterinary Graduates, 1825-1865",1832,"Cruden, Aberdeenshire"
"Wishart, John","Early Veterinary Graduates, 1825-1865",1832,Melrose
"Percival, George","Early Veterinary Graduates, 1825-1865",1863,"Over Whitley, Cheshire"
"West, Richard","Early Veterinary Graduates, 1825-1865",1862,"Thetford, Norfolk"
"Jack, Thomas","Early Veterinary Graduates, 1825-1865",1865,Edinburgh
"Kennedy, Thomas","Early Veterinary Graduates, 1825-1865",1847,Wrexham
"Hall, E. W.","Early Veterinary Graduates, 1825-1865",1845,"Oxford,"
"Strut, Peter","Early Veterinary Graduates, 1825-1865",1835,"Ford Bridge, Northumberland"
"Midgley, John","Early Veterinary Graduates, 1825-1865",1860,Birkenhead
"Turner, John","Early Veterinary Graduates, 1825-1865",1847,Warrington
"Lawson, Alexander","Early Veterinary Graduates, 1825-1865",1842,"Bolton, Lancashire"
"Bisset, John","Early Veterinary Graduates, 1825-1865",1834,Montrose
"Halket, Alexander","Early Veterinary Graduates, 1825-1865",1840,America
"Potts, Robert","Early Veterinary Graduates, 1825-1865",1837,Australia
"Hill, E. B.","Early Veterinary Graduates, 1825-1865",1848,Forfarshire
"Thomson, Thomas","Early Veterinary Graduates, 1825-1865",1853,"Strathaven, Lanark"
"Morton, George","Early Veterinary Graduates, 1825-1865",1840,Edinburgh
"Whyttock, Alexander","Early Veterinary Graduates, 1825-1865",1843,Perthshire
"Kay, James","Early Veterinary Graduates, 1825-1865",1846,"Forgandenny, Perthshire"
"Anderson, William","Early Veterinary Graduates, 1825-1865",1835,Glasgow
"Waters, George","Early Veterinary Graduates, 1825-1865",1845,"Buntingford, Herts"
"Eaglonson, John","Early Veterinary Graduates, 1825-1865",1844,"Stranraer, Wigtown"
"Robertson, William","Early Veterinary Graduates, 1825-1865",1862,Kelso
"Wishart, Philip","Early Veterinary Graduates, 1825-1865",1844,Haddington
"Mellis, Thomas","Early Veterinary Graduates, 1825-1865",1862,"Inverury, Aberdeenshire"
"Harrison, Nicolas","Early Veterinary Graduates, 1825-1865",1863,"Swansea, Wales"
"Chambers, William","Early Veterinary Graduates, 1825-1865",1854,Liverpool
"Glover, Robert H.","Early Veterinary Graduates, 1825-1865",1841,Dumfries
"Shields, William","Early Veterinary Graduates, 1825-1865",1830,"Arbirlot, Forfar"
"Drysdale, James","Early Veterinary Graduates, 1825-1865",1833,New York
