Surname,First name(s),Full name,Father's occupation,F occ grouping,Married surname,Husband's occupation,H occ grouping,Family Tree,Birthdate,Year of birth,Place of birth,Region of birth,Wikidata identifier of place,Country born,Grouped country born,Parental birthplace,Parental group,Religion,Date of death,Year of death,Place of death,Wikidata death,Region of death,Year of student registration,College,Col2,Region of College,First Qual,Group,Primary Qual,Other,1890 Location,Location 1900,Location 1905,Location 1907,Location 1908,Location 1910,Region 1910,Region 1915,Specialism,Position 1915,Region 1925,Specialism 1925,Position 1925,Missionary,India connection,China Connection,War experience,Type of war service,Obituary,Age at reg as a doctor,Age at death,Age at registration as a students,Length of study,Comments,(for Scots) Fees paid,Notes
Adams,Violet Grace Seymour,Violet Grace Seymour Adams,Schoolmaster,Teacher,Clarke,Doctor,Medical,Yes,12-Mar-1873,1873,Moulmein,India,,India,India & Ceylon,Anglo-Indian,SA/SA,,20143,1955,Nairobi,,Africa,1893,LSMW & EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,,,,,,,,,,,Dufferin,"Born & Worked, Agra & Madras",,,,,26,82,20,6,"1915 Medical Directory entry says ‘late Asst. Supt. Gov. Matern. Hosp. Madras; 2nd Phys. Lady Dufferin Hospital, Agra, & Lect. Gynaecol. Wom. Students Agra Med. Sch.",,
Agnew,May,May Agnew,Linen Manufacturer,Manufacturer,Johnston,Presbyterian Minister,Minister,Yes,,1878,Antrim,Ulster,,Ireland,Ireland,Scotland/England,Scot/Engl,Presbyterian,,A1940,,,,1896,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,,,London,London,,,,,,,,,,,,,24,#VALUE!,18,6,,,
Aitken,Isabelle,Isabelle Aitken,Cattle dealer,Dealers and Agents,,,,Yes,,1870,"Eccles, Berwick",SE Scotland,Q68815414,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1948,Edinburgh,,Scotland,1890,ESMW,Edinburgh,Scotland,1896,Edinburgh,Triple,,,China,China,China,,London,London,China,NS,Mission Hospital,,,,EMMS,,EMMS,,,,26,78,20,6,Suffrage,,
Alexander,Christina McCulloch,Christina McCulloch Alexander,Accountant,"Legal, accounts,para-legal",Blaikie,Missionary,Minister,Yes,30 May 1866,1866,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,16698,1945,Edinburgh,,Scotland,1893,EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,,,Kirkintilloch,Scotland,,,,,,,EP Mission China,,English Presbyterian,,,,33,79,27,6,,,
Alison,Janet Cameron Pearson,Janet Cameron Pearson Alison,Architect,Professional,Latimer,Medical,Professional,Yes,20/2/1894,1894,Hawick,SE Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,01/07/1960,1960,Ripon,,England,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,NS,NS,NS,,,,,,,22,66,17,,,,
Allen,Maria Shepherd,Maria Shepherd Allen,Landowner and MP,Landowner & Gentleman,,,,Yes,8 Dec 1877,1877,Staffordshire,West Midlands,,England,England,England,Eng/Eng,Methodist,,1935,Staffordshire,,England,1903,EMCW,Edinburgh,Scotland,1909,Edinburgh,Triple,,,,,,,Cheadle,England,,,,,,,Wesleyan,"Worked, Mysore",,,,,32,58,26,6,,,
Anderson,Elizabeth Matthew,Elizabeth Matthew Anderson,Chemist,Paramedical,,,,Yes,,1878,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland,Scot/Scot,,,1971,Dundee,,Scotland,1894,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Calcutta *,,Dundee,Scotland,Dundee,NS,NS,Dundee,NS,NS,,"Worked, Bengal",,,,,22,93,16,6,Sister of Agnes Jane,,
Anderson,Mary Scott,Mary Scott Anderson,Naval Engineer,Engineer,Arbuckle,Doctor,Medical,Yes,,1869,Devonport,SW England,,England,England,Scotland/England,Scot/Engl,Presbyterian,,1951,South Africa,,Africa,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,Durban,Durban,,Sierra Leone,Africa,,,,,,,?,,,,,,31,82,26,5,,,
Archibald,Marion Hamilton,Marion Hamilton Archibald,Solicitor,"Legal, accounts,para-legal",,,,Yes,01/06/1881,1881,"Hamilton, Lanarkshire",West of Scotland,Q4131,Scotland,Scotland,Scotland,Scot/Scot,,,1930,Surrey,,England,1902,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,Ilkeston,England,,,,,,,,,,,,,25,47,19,6,,97.13,
Armstrong,Janet Richardson,Janet Richardson Armstrong,Farmer,Farmer,Herdman,Army Major,Armed forces,Yes,,1885,Denbighshire,Wales,,Wales,Wales,Scotland,Scot/Scot,Anglican,,1973,Buckinghamshire,,England,1904,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,Glamorgan,Wales,Glamorgan,DPH,ASMO Glamorgan,Glamorgan,DPH,Act SMO & SMI Glamorgan,,,,,,,25,88,19,6,,109.4,
